Label Value,Code,Description
1702 Energy exploration,1702,This group covers R&D directed towards exploration for energy mineral and geothermal energy resources.
170201 Coal exploration,170201,
170202 Geothermal exploration,170202,
170203 Oil and gas exploration,170203,
170204 Oil shale and tar sands exploration,170204,
170205 Uranium exploration,170205,
170299 Energy exploration not elsewhere classified,170299,
"1703 Energy storage, distribution and supply",1703,This group covers R&D directed towards improving energy distribution including electricity and gas transmission and distribution.
170301 Battery storage,170301,
170302 Carbon capture and storage,170302,
170303 Energy services and utilities,170303,
170304 Energy storage (excl. hydrogen and batteries),170304,
170305 Energy systems and analysis,170305,
170306 Energy transmission and distribution (excl. hydrogen),170306,
170307 Hydrogen distribution,170307,
170308 Hydrogen storage,170308,
170309 Smart grids,170309,
"170399 Energy storage, distribution and supply not elsewhere classified",170399,
1704 Energy transformation,1704,"This group covers R&D directed towards the transformation of energy resource minerals into heat, steam or electricity; and the conversion of coal, natural gas, oil shale and tar sands to liquid fuels. It includes hydrogen-based energy systems and fuel cells."
170401 Fuel cells (excl. solid oxide),170401,
170402 Hydrogen-based energy systems,170402,
170403 Nuclear energy,170403,
170404 Solid oxide fuel cells,170404,
170405 Transformation of coal into electricity,170405,
170406 Transformation of coal into fuels,170406,
170407 Transformation of electricity and material feedstocks into fuels,170407,
170408 Transformation of gas into electricity,170408,
170409 Transformation of gas into fuels,170409,
170499 Energy transformation not elsewhere classified,170499,
1705 Environmentally sustainable energy activities,1705,"This group covers R&D directed towards environmentally sustainable exploration, mining, extraction, preparation and processing of energy mineral resources, and the transformation, storage, distribution and supply of energy by minimising the generation of emissions and wastes and by reducing or optimising the consumption of water and other natural resources."
170501 Management of gaseous waste from energy activities (excl. greenhouse gases),170501,
170502 Management of liquid waste from energy activities (excl. water),170502,
170503 Management of solid waste from energy activities,170503,
170504 Management of water consumption by energy activities,170504,
170599 Environmentally sustainable energy activities not elsewhere classified,170599,
1706 Mining and extraction of energy resources,1706,"This group covers R&D directed towards mining and extracting energy mineral resources, as well as the extraction of geothermal energy."
170601 Coal mining and extraction,170601,
170602 Geothermal energy extraction,170602,
170603 Oil and gas extraction,170603,
170604 Oil shale and tar sands mining and extraction,170604,
170605 Uranium mining and extraction,170605,
170699 Mining and extraction of energy resources not elsewhere classified,170699,
1707 Processing of energy sources,1707,"This group covers R&D directed towards the preparation and supply of energy resources, including the production of hydrogen from other energy sources and biofuel production."
170701 Biomass processing,170701,
170702 Hydrogen production from fossil fuels,170702,
170703 Hydrogen production from nuclear energy,170703,
170704 Hydrogen production from renewable energy,170704,
170705 Oil and gas processing,170705,
