Label Value,Code,Description
3212 Ophthalmology and optometry,3212,This group covers ophthalmology and optometry.
321201 Ophthalmology,321201,
321202 Optical technology,321202,
321203 Optometry,321203,
321204 Vision science,321204,
321299 Ophthalmology and optometry not elsewhere classified,321299,
3213 Paediatrics,3213,This group covers paediatrics.
321301 Adolescent health,321301,
321302 Infant and child health,321302,
321303 Neonatology,321303,
321399 Paediatrics not elsewhere classified,321399,
3214 Pharmacology and pharmaceutical sciences,3214,"This group covers the preparation, properties, uses and actions of drugs for medical uses. It includes pharmacogenomics."
321401 Basic pharmacology,321401,
321402 Clinical pharmacology and therapeutics,321402,
321403 Clinical pharmacy and pharmacy practice,321403,
321404 Pharmaceutical delivery technologies,321404,
321405 Pharmaceutical sciences,321405,
321406 Pharmacogenomics,321406,
321407 Toxicology (incl. clinical toxicology),321407,
321499 Pharmacology and pharmaceutical sciences not elsewhere classified,321499,
3215 Reproductive medicine,3215,"This group covers reproductive medicine.
It includes:
assisted reproduction;
foetal development and medicine; and
obstetrics and gynaecology."
321501 Foetal development and medicine,321501,
321502 Obstetrics and gynaecology,321502,
321503 Reproduction,321503,
321599 Reproductive medicine not elsewhere classified,321599,
3299 Other biomedical and clinical sciences,3299,This group covers biomedical and clinical sciences not elsewhere classified.
329999 Other biomedical and clinical sciences not elsewhere classified,329999,
33 Built environment and design,33,"This division covers built environment and design.
It includes:
• architecture;
• building;
• design; and
• urban and regional planning."
3301 Architecture,3301,This group covers architecture.
330101 Architectural computing and visualisation methods,330101,
330102 Architectural design,330102,
330103 Architectural heritage and conservation,330103,
"330104 Architectural history, theory and criticism",330104,
330105 Architectural science and technology,330105,
330106 Architecture for disaster relief,330106,
330107 Architecture management,330107,
330108 Interior design,330108,
330109 Landscape architecture,330109,
330110 Sustainable architecture,330110,
330199 Architecture not elsewhere classified,330199,
3302 Building,3302,This group covers building.
330201 Automation and technology in building and construction,330201,
330202 Building construction management and project planning,330202,
330203 Building industry studies,330203,
330204 Building information modelling and management,330204,
330205 Building organisational studies,330205,
"330206 Building science, technologies and systems",330206,
330207 Quantity surveying,330207,
330299 Building not elsewhere classified,330299,
3303 Design,3303,"This group covers design.
It includes:
• design history and theory;
• ergonomics;
• industrial design;
• textile and fashion design; and
• visual communication and graphics design."
330301 Data visualisation and computational (incl. parametric and generative) design,330301,
330302 Design anthropology,330302,
330303 Design for disaster relief,330303,
"330304 Design history, theory and criticism",330304,
330305 Design management,330305,
330306 Design practice and methods,330306,
330307 Ergonomics design,330307,
330308 Fire safety design,330308,
330309 Industrial and product design,330309,
330310 Interaction and experience design,330310,
330311 Models and simulations of design,330311,
330312 Service design,330312,
330313 Social design,330313,
330314 Sustainable design,330314,
330315 Textile and fashion design,330315,
330316 Visual communication design (incl. graphic design),330316,
330399 Design not elsewhere classified,330399,
3304 Urban and regional planning,3304,This group covers urban and regional planning.
330401 Community planning,330401,
330402 History and theory of the built environment (excl. architecture),330402,
"330403 Housing markets, development and management",330403,
330404 Land use and environmental planning,330404,
330405 Public participation and community engagement,330405,
330406 Regional analysis and development,330406,
330407 Regulatory planning and development assessment,330407,
"330408 Strategic, metropolitan and regional planning",330408,
330409 Transport planning,330409,
330410 Urban analysis and development,330410,
330411 Urban design,330411,
330412 Urban informatics,330412,
330413 Urban planning and health,330413,
330499 Urban and regional planning not elsewhere classified,330499,
3399 Other built environment and design,3399,This group covers built environment and design not elsewhere classified.
339999 Other built environment and design not elsewhere classified,339999,
34 Chemical sciences,34,This division covers the chemical sciences.
3401 Analytical chemistry,3401,This group covers analytical chemistry.
340101 Analytical spectrometry,340101,
340102 Bioassays,340102,
340103 Electroanalytical chemistry,340103,
340104 Flow analysis,340104,
340105 Instrumental methods (excl. immunological and bioassay methods),340105,
340106 Metabolomic chemistry,340106,
"340107 Quality assurance, chemometrics, traceability and metrological chemistry",340107,
340108 Sensor technology (incl. chemical aspects),340108,
340109 Separation science,340109,
340199 Analytical chemistry not elsewhere classified,340199,
3402 Inorganic chemistry,3402,This group covers inorganic chemistry.
340201 Bioinorganic chemistry,340201,
340202 Crystallography,340202,
340203 F-block chemistry,340203,
340204 Inorganic green chemistry,340204,
340205 Main group metal chemistry,340205,
340206 Metal cluster chemistry,340206,
340207 Metal organic frameworks,340207,
340208 Non-metal chemistry,340208,
340209 Organometallic chemistry,340209,
340210 Solid state chemistry,340210,
340211 Transition metal chemistry,340211,
340299 Inorganic chemistry not elsewhere classified,340299,
3403 Macromolecular and materials chemistry,3403,"This group covers macromolecular and materials chemistry. 
It includes nanochemistry."
340301 Inorganic materials (incl. nanomaterials),340301,
340302 Macromolecular materials,340302,
340303 Nanochemistry,340303,
340304 Optical properties of materials,340304,
340305 Physical properties of materials,340305,
340306 Polymerisation mechanisms,340306,
340307 Structure and dynamics of materials,340307,
340308 Supramolecular chemistry,340308,
340309 Theory and design of materials,340309,
340399 Macromolecular and materials chemistry not elsewhere classified,340399,
3404 Medicinal and biomolecular chemistry,3404,"This group covers medicinal and biomolecular chemistry.
It includes cheminformatics."
340401 Biologically active molecules,340401,
340402 Biomolecular modelling and design,340402,
340403 Characterisation of biological macromolecules,340403,
340404 Cheminformatics and quantitative structure-activity relationships,340404,
340405 Glycoconjugates,340405,
340406 Molecular medicine,340406,
340407 Proteins and peptides,340407,
340499 Medicinal and biomolecular chemistry not elsewhere classified,340499,
3405 Organic chemistry,3405,This group covers organic chemistry.
340501 Free radical chemistry,340501,
340502 Natural products and bioactive compounds,340502,
340503 Organic chemical synthesis,340503,
340504 Organic green chemistry,340504,
340505 Physical organic chemistry,340505,
340599 Organic chemistry not elsewhere classified,340599,
3406 Physical chemistry,3406,This group covers physical chemistry.
340601 Catalysis and mechanisms of reactions,340601,
340602 Chemical thermodynamics and energetics,340602,
340603 Colloid and surface chemistry,340603,
340604 Electrochemistry,340604,
340605 Molecular imaging (incl. electron microscopy and neutron diffraction),340605,
340606 Photochemistry,340606,
340607 Reaction kinetics and dynamics,340607,
340608 Solution chemistry,340608,
340609 Transport properties and non-equilibrium processes,340609,
340699 Physical chemistry not elsewhere classified,340699,
3407 Theoretical and computational chemistry,3407,This group covers theoretical chemistry and computational chemistry.
340701 Computational chemistry,340701,
340702 Radiation and matter,340702,
340703 Statistical mechanics in chemistry,340703,
340704 Theoretical quantum chemistry,340704,
340799 Theoretical and computational chemistry not elsewhere classified,340799,
3499 Other chemical sciences,3499,"This group covers other chemical sciences not elsewhere classified.
It includes forensic chemistry."
349901 Forensic chemistry,349901,
349999 Other chemical sciences not elsewhere classified,349999,
"35 Commerce, management, tourism and services",35,"This division covers commerce, management, tourism and services."
"3501 Accounting, auditing and accountability",3501,"This group covers accounting, auditing and accountability."
350101 Accounting theory and standards,350101,
350102 Auditing and accountability,350102,
350103 Financial accounting,350103,
350104 International accounting,350104,
350105 Management accounting,350105,
350106 Not-for-profit accounting and accountability,350106,
350107 Sustainability accounting and reporting,350107,
350108 Taxation accounting,350108,
"350199 Accounting, auditing and accountability not elsewhere classified",350199,
"3502 Banking, finance and investment",3502,"This group covers banking, finance and investment."
350201 Environment and climate finance,350201,
350202 Finance,350202,
350203 Financial econometrics,350203,
350204 Financial institutions (incl. banking),350204,
350205 Household finance and financial literacy,350205,
350206 Insurance studies,350206,
350207 International finance,350207,
350208 Investment and risk management,350208,
350209 Not-for-profit finance and risk,350209,
"350299 Banking, finance and investment not elsewhere classified",350299,
3503 Business systems in context,3503,This group covers business systems in context.
350301 Business analytics,350301,
"350302 Business information management (incl. records, knowledge and intelligence)",350302,
350303 Business information systems,350303,
350304 Business systems in context,350304,
350305 Forensic intelligence,350305,
350306 Forensic science and management,350306,
350307 Technology management,350307,
350399 Business systems in context not elsewhere classified,350399,
3504 Commercial services,3504,"This group covers commercial services, other than tourism and transportation and freight services."
350401 Food and hospitality services,350401,
350402 Hospitality management,350402,
350403 Real estate and valuation services,350403,
350404 Retail,350404,
350405 Sport and leisure management,350405,
350499 Commercial services not elsewhere classified,350499,
3505 Human resources and industrial relations,3505,This group covers human resources and industrial relations.
350501 Business and labour history,350501,
350502 Employment equity and diversity,350502,
350503 Human resources management,350503,
350504 Industrial and employee relations,350504,
350505 Occupational and workplace health and safety,350505,
350506 Workforce planning,350506,
350507 Workplace wellbeing and quality of working life,350507,
350599 Human resources and industrial relations not elsewhere classified,350599,
3506 Marketing,3506,This group covers marketing.
350601 Consumer behaviour,350601,
350602 Consumer-oriented product or service development,350602,
350603 Industrial marketing,350603,
350604 Marketing communications,350604,
350605 Marketing management (incl. strategy and customer relations),350605,
350606 Marketing research methodology,350606,
350607 Marketing technology,350607,
350608 Marketing theory,350608,
350609 Not-for-profit marketing,350609,
350610 Pricing (incl. consumer value estimation),350610,
350611 Service marketing,350611,
350612 Social marketing,350612,
350699 Marketing not elsewhere classified,350699,
"3507 Strategy, management and organisational behaviour",3507,"This group covers strategy, management and organisational behaviour."
350701 Corporate governance,350701,
350702 Corporate social responsibility,350702,
350703 Disaster and emergency management,350703,
350704 Entrepreneurship,350704,
350705 Innovation management,350705,
350706 International business,350706,
350707 Leadership,350707,
350708 Not-for-profit business and management,350708,
350709 Organisation and management theory,350709,
350710 Organisational behaviour,350710,
350711 Organisational planning and management,350711,
350712 Production and operations management,350712,
350713 Project management,350713,
350714 Public sector organisation and management,350714,
350715 Quality management,350715,
350716 Small business organisation and management,350716,
350717 Stakeholder engagement,350717,
350718 Strategy,350718,
"350799 Strategy, management and organisational behaviour not elsewhere classified",350799,
3508 Tourism,3508,This group covers tourism.
350801 Impacts of tourism,350801,
350802 Tourism forecasting,350802,
350803 Tourism management,350803,
