Label Value,Code,Description
080309 Software Engineering,080309,
080399 Computer Software not elsewhere classified,080399,
0804 Data Format,0804,
080401 Coding and Information Theory,080401,
080402 Data Encryption,080402,
080403 Data Structures,080403,
080404 Markup Languages,080404,
080499 Data Format not elsewhere classified,080499,
0805 Distributed Computing,0805,
080501 Distributed and Grid Systems,080501,
080502 Mobile Technologies,080502,
080503 Networking and Communications,080503,
080504 Ubiquitous Computing,080504,
080505 Web Technologies (excl. Web Search),080505,
080599 Distributed Computing not elsewhere classified,080599,
0806 Information Systems,0806,
080601 Aboriginal and Torres Strait Islander Information and Knowledge Systems,080601,
080602 Computer-Human Interaction,080602,
080603 Conceptual Modelling,080603,
080604 Database Management,080604,
080605 Decision Support and Group Support Systems,080605,
080606 Global Information Systems,080606,
080607 Information Engineering and Theory,080607,
080608 Information Systems Development Methodologies,080608,
080609 Information Systems Management,080609,
080610 Information Systems Organisation,080610,
080611 Information Systems Theory,080611,
080612 Interorganisational Information Systems and Web Services,080612,
080613 Maori Information and Knowledge Systems,080613,
080614 Pacific Peoples Information and Knowledge Systems,080614,
080699 Information Systems not elsewhere classified,080699,
0807 Library and Information Studies,0807,
080701 Aboriginal and Torres Strait Islander Knowledge Management,080701,
080702 Health Informatics,080702,
080703 Human Information Behaviour,080703,
080704 Information Retrieval and Web Search,080704,
080705 Informetrics,080705,
080706 Librarianship,080706,
080707 Organisation of Information and Knowledge Resources,080707,
080708 Records and Information Management (excl. Business Records and Information Management),080708,
080709 Social and Community Informatics,080709,
080799 Library and Information Studies not elsewhere classified,080799,
0899 Other Information and Computing Sciences,0899,
089999 Information and Computing Sciences not elsewhere classified,089999,
09 Engineering,09,
0901 Aerospace Engineering,0901,
090101 Aerodynamics (excl. Hypersonic Aerodynamics),090101,
090102 Aerospace Materials,090102,
090103 Aerospace Structures,090103,
090104 Aircraft Performance and Flight Control Systems,090104,
090105 Avionics,090105,
090106 Flight Dynamics,090106,
090107 Hypersonic Propulsion and Hypersonic Aerodynamics,090107,
"090108 Satellite, Space Vehicle and Missile Design and Testing",090108,
090199 Aerospace Engineering not elsewhere classified,090199,
0902 Automotive Engineering,0902,
090201 Automotive Combustion and Fuel Engineering (incl. Alternative/Renewable Fuels),090201,
090202 Automotive Engineering Materials,090202,
090203 Automotive Mechatronics,090203,
090204 Automotive Safety Engineering,090204,
090205 Hybrid Vehicles and Powertrains,090205,
090299 Automotive Engineering not elsewhere classified,090299,
0903 Biomedical Engineering,0903,
090301 Biomaterials,090301,
090302 Biomechanical Engineering,090302,
090303 Biomedical Instrumentation,090303,
090304 Medical Devices,090304,
090305 Rehabilitation Engineering,090305,
090399 Biomedical Engineering not elsewhere classified,090399,
0904 Chemical Engineering,0904,
090401 Carbon Capture Engineering (excl. Sequestration),090401,
090402 Catalytic Process Engineering,090402,
090403 Chemical Engineering Design,090403,
090404 Membrane and Separation Technologies,090404,
090405 Non-automotive Combustion and Fuel Engineering (incl. Alternative/Renewable Fuels),090405,
090406 Powder and Particle Technology,090406,
090407 Process Control and Simulation,090407,
090408 Rheology,090408,
090409 Wastewater Treatment Processes,090409,
090410 Water Treatment Processes,090410,
090499 Chemical Engineering not elsewhere classified,090499,
0905 Civil Engineering,0905,
090501 Civil Geotechnical Engineering,090501,
090502 Construction Engineering,090502,
090503 Construction Materials,090503,
090504 Earthquake Engineering,090504,
090505 Infrastructure Engineering and Asset Management,090505,
090506 Structural Engineering,090506,
090507 Transport Engineering,090507,
090508 Water Quality Engineering,090508,
090509 Water Resources Engineering,090509,
090599 Civil Engineering not elsewhere classified,090599,
0906 Electrical and Electronic Engineering,0906,
090601 Circuits and Systems,090601,
"090602 Control Systems, Robotics and Automation",090602,
090603 Industrial Electronics,090603,
090604 Microelectronics and Integrated Circuits,090604,
"090605 Photodetectors, Optical Sensors and Solar Cells",090605,
090606 Photonics and Electro-Optical Engineering (excl. Communications),090606,
090607 Power and Energy Systems Engineering (excl. Renewable Power),090607,
090608 Renewable Power and Energy Systems Engineering (excl. Solar Cells),090608,
090609 Signal Processing,090609,
090699 Electrical and Electronic Engineering not elsewhere classified,090699,
0907 Environmental Engineering,0907,
090701 Environmental Engineering Design,090701,
090702 Environmental Engineering Modelling,090702,
090703 Environmental Technologies,090703,
090799 Environmental Engineering not elsewhere classified,090799,
0908 Food Sciences,0908,
090801 Food Chemistry and Molecular Gastronomy (excl. Wine),090801,
090802 Food Engineering,090802,
090803 Food Nutritional Balance,090803,
"090804 Food Packaging, Preservation and Safety",090804,
090805 Food Processing,090805,
090806 Wine Chemistry and Wine Sensory Science,090806,
090899 Food Sciences not elsewhere classified,090899,
0909 Geomatic Engineering,0909,
090901 Cartography,090901,
090902 Geodesy,090902,
090903 Geospatial Information Systems,090903,
090904 Navigation and Position Fixing,090904,
090905 Photogrammetry and Remote Sensing,090905,
090906 Surveying (incl. Hydrographic Surveying),090906,
090999 Geomatic Engineering not elsewhere classified,090999,
0910 Manufacturing Engineering,0910,
091001 CAD/CAM Systems,091001,
091002 Flexible Manufacturing Systems,091002,
091003 Machine Tools,091003,
091004 Machining,091004,
091005 Manufacturing Management,091005,
091006 Manufacturing Processes and Technologies (excl. Textiles),091006,
091007 Manufacturing Robotics and Mechatronics (excl. Automotive Mechatronics),091007,
091008 Manufacturing Safety and Quality,091008,
091009 Microtechnology,091009,
"091010 Packaging, Storage and Transportation (excl. Food and Agricultural Products)",091010,
091011 Precision Engineering,091011,
091012 Textile Technology,091012,
091099 Manufacturing Engineering not elsewhere classified,091099,
0911 Maritime Engineering,0911,
091101 Marine Engineering,091101,
091102 Naval Architecture,091102,
091103 Ocean Engineering,091103,
091104 Ship and Platform Hydrodynamics,091104,
091105 Ship and Platform Structures,091105,
091106 Special Vehicles,091106,
091199 Maritime Engineering not elsewhere classified,091199,
0912 Materials Engineering,0912,
091201 Ceramics,091201,
091202 Composite and Hybrid Materials,091202,
091203 Compound Semiconductors,091203,
091204 Elemental Semiconductors,091204,
091205 Functional Materials,091205,
091206 Glass,091206,
091207 Metals and Alloy Materials,091207,
091208 Organic Semiconductors,091208,
091209 Polymers and Plastics,091209,
"091210 Timber, Pulp and Paper",091210,
091299 Materials Engineering not elsewhere classified,091299,
0913 Mechanical Engineering,0913,
091301 Acoustics and Noise Control (excl. Architectural Acoustics),091301,
091302 Automation and Control Engineering,091302,
091303 Autonomous Vehicles,091303,
"091304 Dynamics, Vibration and Vibration Control",091304,
"091305 Energy Generation, Conversion and Storage Engineering",091305,
091306 Microelectromechanical Systems (MEMS),091306,
091307 Numerical Modelling and Mechanical Characterisation,091307,
091308 Solid Mechanics,091308,
091309 Tribology,091309,
091399 Mechanical Engineering not elsewhere classified,091399,
0914 Resources Engineering and Extractive Metallurgy,0914,
091401 Electrometallurgy,091401,
091402 Geomechanics and Resources Geotechnical Engineering,091402,
091403 Hydrometallurgy,091403,
091404 Mineral Processing/Beneficiation,091404,
091405 Mining Engineering,091405,
091406 Petroleum and Reservoir Engineering,091406,
091407 Pyrometallurgy,091407,
091499 Resources Engineering and Extractive Metallurgy not elsewhere classified,091499,
0915 Interdisciplinary Engineering,0915,
091501 Computational Fluid Dynamics,091501,
091502 Computational Heat Transfer,091502,
091503 Engineering Practice,091503,
091504 Fluidisation and Fluid Mechanics,091504,
091505 Heat and Mass Transfer Operations,091505,
091506 Nuclear Engineering (incl. Fuel Enrichment and Waste Processing and Storage),091506,
091507 Risk Engineering (excl. Earthquake Engineering),091507,
091508 Turbulent Flows,091508,
091599 Interdisciplinary Engineering not elsewhere classified,091599,
0999 Other Engineering,0999,
099901 Agricultural Engineering,099901,
099902 Engineering Instrumentation,099902,
099999 Engineering not elsewhere classified,099999,
10 Technology,10,
1001 Agricultural Biotechnology,1001,
100101 Agricultural Biotechnology Diagnostics (incl. Biosensors),100101,
100102 Agricultural Marine Biotechnology,100102,
100103 Agricultural Molecular Engineering of Nucleic Acids and Proteins,100103,
100104 Genetically Modified Animals,100104,
100105 Genetically Modified Field Crops and Pasture,100105,
100106 Genetically Modified Horticulture Plants,100106,
100107 Genetically Modified Trees,100107,
100108 Livestock cloning,100108,
100109 Transgenesis,100109,
100199 Agricultural Biotechnology not elsewhere classified,100199,
1002 Environmental Biotechnology,1002,
100201 Biodiscovery,100201,
100202 Biological Control,100202,
100203 Bioremediation,100203,
100204 Environmental Biotechnology Diagnostics (incl. Biosensors),100204,
100205 Environmental Marine Biotechnology,100205,
100206 Environmental Molecular Engineering of Nucleic Acids and Proteins,100206,
100299 Environmental Biotechnology not elsewhere classified,100299,
1003 Industrial Biotechnology,1003,
100301 Biocatalysis and Enzyme Technology,100301,
"100302 Bioprocessing, Bioproduction and Bioproducts",100302,
100303 Fermentation,100303,
100304 Industrial Biotechnology Diagnostics (incl. Biosensors),100304,
100305 Industrial Microbiology (incl. Biofeedstocks),100305,
100306 Industrial Molecular Engineering of Nucleic Acids and Proteins,100306,
100399 Industrial Biotechnology not elsewhere classified,100399,
1004 Medical Biotechnology,1004,
100401 Gene and Molecular Therapy,100401,
100402 Medical Biotechnology Diagnostics (incl. Biosensors),100402,
100403 Medical Molecular Engineering of Nucleic Acids and Proteins,100403,
100404 Regenerative Medicine (incl. Stem Cells and Tissue Engineering),100404,
100499 Medical Biotechnology not elsewhere classified,100499,
1005 Communications Technologies,1005,
100501 Antennas and Propagation,100501,
100502 Broadband and Modem Technology,100502,
100503 Computer Communications Networks,100503,
100504 Data Communications,100504,
100505 Microwave and Millimetrewave Theory and Technology,100505,
