Label Value,Code,Description
880202 International Sea Freight Transport (excl. Live Animal Transport),880202,
880203 International Sea Transport of Live Animals,880203,
880204 Passenger Water Transport,880204,
880205 Port Infrastructure and Management,880205,
880206 Water Safety,880206,
880299 Water Transport not elsewhere classified,880299,
880301 Air Freight,880301,
880302 Air Passenger Transport,880302,
880303 Air Safety,880303,
880304 Air Terminal Infrastructure and Management,880304,
880305 Space Transport,880305,
880399 Aerospace Transport not elsewhere classified,880399,
889801 Management of Gaseous Waste from Transport Activities (excl. Greenhouse Gases),889801,
889802 Management of Greenhouse Gas Emissions from Transport Activities,889802,
889803 Management of Liquid Waste from Transport Activities (excl. Water),889803,
889804 Management of Noise and Vibration from Transport Activities,889804,
889805 Management of Solid Waste from Transport Activities,889805,
889806 Management of Water Consumption by Transport Activities,889806,
889899 Environmentally Sustainable Transport not elsewhere classified,889899,
889901 Intermodal Materials Handling,889901,
889902 Multimodal Transport,889902,
889903 Pipeline Transport,889903,
889904 Postal and Package Services (incl. Courier Services),889904,
889999 Transport not elsewhere classified,889999,
890101 Fixed Line Data Networks and Services,890101,
890102 Fixed Line Telephone Networks and Services,890102,
890103 Mobile Data Networks and Services,890103,
890104 Mobile Telephone Networks and Services,890104,
890105 Satellite Communication Networks and Services,890105,
890106 Videoconference Services,890106,
890199 Communication Networks and Services not elsewhere classified,890199,
890201 Application Software Packages (excl. Computer Games),890201,
890202 Application Tools and System Utilities,890202,
890203 Computer Gaming Software,890203,
"890204 Computer Time Leasing, Sharing and Renting Services",890204,
890205 Information Processing Services (incl. Data Entry and Capture),890205,
890206 Internet Hosting Services (incl. Application Hosting Services),890206,
890299 Computer Software and Services not elsewhere classified,890299,
890301 Electronic Information Storage and Retrieval Services,890301,
890302 Library and Archival Services,890302,
890303 News Collection Services,890303,
890399 Information Services not elsewhere classified,890399,
890401 Animation and Computer Generated Imagery Services,890401,
890402 Film and Video Services (excl. Animation and Computer Generated Imagery),890402,
890403 Internet Broadcasting,890403,
890404 Publishing and Print Services (incl. Internet Publishing),890404,
890405 Radio and Television Broadcasting,890405,
890499 Media Services not elsewhere classified,890499,
899801 Management of Greenhouse Gas Emissions from Information and Communication Services,899801,
899802 Management of Solid Waste from Information and Communication Services,899802,
899803 Management of Water Consumption by Information and Communication Services,899803,
899899 Environmentally Sustainable Information and Communication Services not elsewhere classified,899899,
899999 Information and Communication Services not elsewhere classified,899999,
900101 Finance Services,900101,
900102 Investment Services (excl. Superannuation),900102,
900103 Superannuation and Insurance Services,900103,
900199 Financial Services not elsewhere classified,900199,
900201 Administration and Business Support Services,900201,
"900202 Professional, Scientific and Technical Services",900202,
900203 Property Services (incl. Security),900203,
900204 Wholesale and Retail Trade,900204,
"900299 Property, Business Support Services and Trade not elsewhere classified",900299,
900301 Economic Issues in Tourism,900301,
900302 Socio-Cultural Issues in Tourism,900302,
900303 Tourism Infrastructure Development,900303,
900399 Tourism not elsewhere classified,900399,
900401 Waste Management Services,900401,
900402 Waste Recycling Services,900402,
900403 Water Recycling Services (incl. Sewage and Greywater),900403,
900404 Water Services and Utilities,900404,
900499 Water and Waste Services not elsewhere classified,900499,
909801 Management of Gaseous Waste from Commercial Services and Tourism (excl. Greenhouse Gases),909801,
909802 Management of Greenhouse Gas Emissions from Commercial Services and Tourism,909802,
909803 Management of Liquid Waste from Commercial Services and Tourism (excl. Water),909803,
909804 Management of Solid Waste from Commercial Services and Tourism,909804,
909805 Management of Water Consumption by Commercial Services and Tourism,909805,
909899 Environmentally Sustainable Commercial Services and Tourism not elsewhere classified,909899,
909901 Hospitality Services,909901,
909902 Recreational Services,909902,
909999 Commercial Services and Tourism not elsewhere classified,909999,
910101 Balance of Payments,910101,
910102 Demography,910102,
910103 Economic Growth,910103,
910104 Exchange Rates,910104,
910105 Fiscal Policy,910105,
910106 Income Distribution,910106,
910107 Macro Labour Market Issues,910107,
910108 Monetary Policy,910108,
910109 Savings and Investments,910109,
910110 Taxation,910110,
910199 Macroeconomics not elsewhere classified,910199,
910201 Consumption,910201,
910202 Human Capital Issues,910202,
910203 Industrial Organisations,910203,
910204 Industry Costs and Structure,910204,
910205 Industry Policy,910205,
910206 Market-Based Mechanisms,910206,
910207 Microeconomic Effects of Taxation,910207,
910208 Micro Labour Market Issues,910208,
"910209 Preference, Behaviour and Welfare",910209,
910210 Production,910210,
910211 Supply and Demand,910211,
910299 Microeconomics not elsewhere classified,910299,
910301 International Agreements on Trade,910301,
910302 Trade Assistance and Protection,910302,
910303 Trade Policy,910303,
910399 International Trade not elsewhere classified,910399,
910401 Industrial Relations,910401,
910402 Management,910402,
910403 Marketing,910403,
910404 Productivity (excl. Public Sector),910404,
910405 Public Sector Productivity,910405,
910406 Technological and Organisational Innovation,910406,
910499 Management and Productivity not elsewhere classified,910499,
910501 Agricultural and Environmental Standards,910501,
910502 Defence Standards and Calibrations,910502,
910503 Manufacturing Standards and Calibrations,910503,
910504 Service Industries Standards and Calibrations,910504,
910599 Measurement Standards and Calibration Services not elsewhere classified,910599,
919901 Carbon and Emissions Trading,919901,
919902 Ecological Economics,919902,
919999 Economic Framework not elsewhere classified,919999,
920101 Blood Disorders,920101,
